Epoch: 0 time: 23.86270127806347, train_loss: 0.2561327934265137, val_loss: 0.12181003391742706
Epoch: 1 time: 10.650430597946979, train_loss: 0.14118579626083375, val_loss: 0.09817203879356384
Epoch: 2 time: 10.148479172959924, train_loss: 0.12256389856338501, val_loss: 0.10172603279352188
Epoch: 3 time: 9.976323202019557, train_loss: 0.12911362648010255, val_loss: 0.07974222302436829
Epoch: 4 time: 9.614030997967348, train_loss: 0.11207894086837769, val_loss: 0.06472907960414886
Epoch: 5 time: 9.237948455964215, train_loss: 0.11528347730636597, val_loss: 0.09465967118740082
Epoch: 6 time: 9.675334544968791, train_loss: 0.11012779474258423, val_loss: 0.06915317475795746
Epoch: 7 time: 10.909920406993479, train_loss: 0.09928204417228699, val_loss: 0.05902363732457161
Epoch: 8 time: 13.53907541395165, train_loss: 0.10487154722213746, val_loss: 0.1006384864449501
Epoch: 9 time: 9.402192924986593, train_loss: 0.10323758125305176, val_loss: 0.06219072639942169
Epoch: 10 time: 9.48774638096802, train_loss: 0.08987948894500733, val_loss: 0.06456416100263596
Epoch: 11 time: 9.534350545960478, train_loss: 0.09118887782096863, val_loss: 0.055685173720121384
Epoch: 12 time: 10.406692684045993, train_loss: 0.089187753200531, val_loss: 0.05674928054213524
Epoch: 13 time: 9.382394867017865, train_loss: 0.08266104459762573, val_loss: 0.04300998896360397
Epoch: 14 time: 10.65059192897752, train_loss: 0.0914615273475647, val_loss: 0.07926382124423981
Epoch: 15 time: 9.327707526041195, train_loss: 0.08020520210266113, val_loss: 0.05391540750861168
Epoch: 16 time: 9.565723830019124, train_loss: 0.07798219919204712, val_loss: 0.06773365288972855
Epoch: 17 time: 9.311466317041777, train_loss: 0.08377192616462707, val_loss: 0.07395324856042862
Epoch: 18 time: 9.310208003968, train_loss: 0.07732621431350709, val_loss: 0.06579328328371048
Epoch: 19 time: 9.544403717969544, train_loss: 0.07163040637969971, val_loss: 0.05325120687484741
Epoch: 20 time: 9.634419559966773, train_loss: 0.07322675585746766, val_loss: 0.049554336816072464
Epoch: 21 time: 10.855975870974362, train_loss: 0.06892451047897338, val_loss: 0.04791725426912308
Epoch: 22 time: 14.430456500966102, train_loss: 0.06473216414451599, val_loss: 0.044969163835048676
Epoch: 23 time: 10.091377697885036, train_loss: 0.06804354190826416, val_loss: 0.05003904178738594
Epoch: 24 time: 10.512890212005004, train_loss: 0.06092604398727417, val_loss: 0.06262817233800888
Epoch: 25 time: 9.500646547996439, train_loss: 0.05695738792419434, val_loss: 0.10647247731685638
Epoch: 26 time: 9.334119173930958, train_loss: 0.06534619927406311, val_loss: 0.0776854008436203
Epoch: 27 time: 9.388545430963859, train_loss: 0.0593441903591156, val_loss: 0.10317100584506989
Epoch: 28 time: 12.668466019094922, train_loss: 0.06464375853538513, val_loss: 0.043337009847164154
Epoch: 29 time: 9.95279790298082, train_loss: 0.06043897867202759, val_loss: 0.058204639703035355
Epoch: 30 time: 9.193298113998026, train_loss: 0.06022367477416992, val_loss: 0.05871080979704857
Epoch: 31 time: 9.291204011067748, train_loss: 0.05736842155456543, val_loss: 0.042515501379966736
Epoch: 32 time: 10.649481539963745, train_loss: 0.06414681673049927, val_loss: 0.06729752570390701
Epoch: 33 time: 13.012597527937032, train_loss: 0.053175711631774904, val_loss: 0.054631464183330536
Epoch: 34 time: 11.571704810019583, train_loss: 0.05417004823684692, val_loss: 0.04501151666045189
Epoch: 35 time: 9.14696476305835, train_loss: 0.05196899175643921, val_loss: 0.05626220628619194
Epoch: 36 time: 8.688843908021227, train_loss: 0.049968686699867246, val_loss: 0.04091586917638779
Epoch: 37 time: 9.776729758945294, train_loss: 0.05074855089187622, val_loss: 0.04793268069624901
Epoch: 38 time: 12.440726971020922, train_loss: 0.05420377254486084, val_loss: 0.041302409023046494
Epoch: 39 time: 12.147352935979143, train_loss: 0.050349867343902587, val_loss: 0.0374339260160923
Epoch: 40 time: 11.618513016030192, train_loss: 0.05044335126876831, val_loss: 0.05725626274943352
Epoch: 41 time: 11.20805304707028, train_loss: 0.04769943058490753, val_loss: 0.04299469292163849
Epoch: 42 time: 10.534657338052057, train_loss: 0.052804064750671384, val_loss: 0.0410873107612133
Epoch: 43 time: 9.079284999053925, train_loss: 0.0562688410282135, val_loss: 0.04728569835424423
Epoch: 44 time: 15.671418707002886, train_loss: 0.046122902631759645, val_loss: 0.04435696452856064
Epoch: 45 time: 11.245017417008057, train_loss: 0.053256022930145266, val_loss: 0.03996209800243378
Epoch: 46 time: 10.305946253007278, train_loss: 0.05019198060035705, val_loss: 0.04252271726727486
Epoch: 47 time: 16.62946546706371, train_loss: 0.04886804819107056, val_loss: 0.04873809590935707
Epoch: 48 time: 14.497806923929602, train_loss: 0.04565194249153137, val_loss: 0.0351688414812088
Epoch: 49 time: 12.250152942026034, train_loss: 0.043824765086174014, val_loss: 0.04431108757853508
Epoch: 50 time: 9.386252788011916, train_loss: 0.046580883860588077, val_loss: 0.059702493250370026
