Epoch: 0 time: 33.360987739637494, train_loss: 0.21498219966888427, val_loss: 0.1753384917974472
Epoch: 1 time: 26.86880782432854, train_loss: 0.1335251212120056, val_loss: 0.08458969742059708
Epoch: 2 time: 28.280190801247954, train_loss: 0.11836888790130615, val_loss: 0.12765063345432281
Epoch: 3 time: 28.044506419450045, train_loss: 0.10623133182525635, val_loss: 0.07382979989051819
Epoch: 4 time: 27.25970597565174, train_loss: 0.09664186239242553, val_loss: 0.06995382159948349
Epoch: 5 time: 28.8145119715482, train_loss: 0.09363127946853637, val_loss: 0.07458709180355072
Epoch: 6 time: 27.971038741990924, train_loss: 0.09278100728988647, val_loss: 0.06354668736457825
Epoch: 7 time: 26.515968644991517, train_loss: 0.0888089120388031, val_loss: 0.06557517498731613
Epoch: 8 time: 28.012488598003983, train_loss: 0.0764944851398468, val_loss: 0.07137028127908707
Epoch: 9 time: 25.95181112550199, train_loss: 0.08589555025100708, val_loss: 0.10298620164394379
Epoch: 10 time: 28.989176955074072, train_loss: 0.0824846625328064, val_loss: 0.06767135113477707
Epoch: 11 time: 29.76486837118864, train_loss: 0.0783559501171112, val_loss: 0.07689929753541946
Epoch: 12 time: 28.1873075440526, train_loss: 0.07422243952751159, val_loss: 0.05472343787550926
Epoch: 13 time: 27.505649149417877, train_loss: 0.0662217378616333, val_loss: 0.06924448907375336
Epoch: 14 time: 28.15716323442757, train_loss: 0.06838188767433166, val_loss: 0.06089320406317711
Epoch: 15 time: 16.123958798125386, train_loss: 0.07077456116676331, val_loss: 0.08119506388902664
Epoch: 16 time: 15.9797278996557, train_loss: 0.06282605528831482, val_loss: 0.05377146974205971
Epoch: 17 time: 15.433997878804803, train_loss: 0.07575745582580566, val_loss: 0.06924942135810852
Epoch: 18 time: 15.870056733489037, train_loss: 0.06602641344070434, val_loss: 0.04826254025101662
Epoch: 19 time: 18.583376225084066, train_loss: 0.062194991111755374, val_loss: 0.06270977854728699
Epoch: 20 time: 18.055900370702147, train_loss: 0.06985886693000794, val_loss: 0.04537723585963249
Epoch: 21 time: 15.76989178173244, train_loss: 0.06173727512359619, val_loss: 0.05187968909740448
Epoch: 22 time: 17.30590082705021, train_loss: 0.05900975465774536, val_loss: 0.06756860017776489
Epoch: 23 time: 16.68250866420567, train_loss: 0.06284312605857849, val_loss: 0.09313905984163284
Epoch: 24 time: 16.819896459579468, train_loss: 0.07187092900276185, val_loss: 0.06550414860248566
Epoch: 25 time: 16.903360100463033, train_loss: 0.06378023028373718, val_loss: 0.04259779304265976
Epoch: 26 time: 16.836341749876738, train_loss: 0.05950233340263367, val_loss: 0.0638541504740715
Epoch: 27 time: 17.434051791206002, train_loss: 0.055834293365478516, val_loss: 0.061655521392822266
Epoch: 28 time: 15.896895548328757, train_loss: 0.0529003381729126, val_loss: 0.04312761127948761
Epoch: 29 time: 15.832666330039501, train_loss: 0.056420743465423584, val_loss: 0.05001787096261978
Epoch: 30 time: 16.342740634456277, train_loss: 0.05691492557525635, val_loss: 0.06811504811048508
Epoch: 31 time: 15.94248784519732, train_loss: 0.05843811631202698, val_loss: 0.05600007623434067
